,pca_n_components,params,accuracy
0,6,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 10}",0.6418079096045197
1,9,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 10}",0.6401129943502826
2,10,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 10}",0.6384180790960452
3,8,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 10}",0.6378531073446327
4,7,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.6372881355932203
5,5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.6361581920903955
6,3,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10}",0.635593220338983
7,11,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.6350282485875706
8,4,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 10}",0.632768361581921
9,12,"{'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 5}",0.6316384180790962
10,2,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 5}",0.6073446327683616
11,1,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 10}",0.5050847457627119
